employee_id,team_name
emp_0,ProductResearchTeam
emp_1,AIResearchTeam
emp_1,CloudOpsTeam
emp_2,InnovationDevTeam
emp_3,InfraOpsTeam
emp_4,AIOpsTeam
emp_4,CloudTeam
emp_5,ProductResearchTeam
emp_6,CoreDevTeam
emp_7,AIDevTeam
emp_7,InfraDevTeam
emp_8,AITeam
emp_8,ProductOpsTeam
emp_9,AnalyticsResearchTeam
emp_9,InfraDevTeam
emp_10,AnalyticsTeam
emp_10,InnovationTeam
emp_11,InnovationTeam
emp_12,AIDevTeam
emp_13,AIDevTeam
emp_13,AnalyticsDevTeam
emp_14,CloudTeam
emp_15,InfraTeam
emp_16,AITeam
emp_17,CloudResearchTeam
emp_18,AITeam
emp_19,InfraTeam
emp_20,DataOpsTeam
emp_20,InnovationDevTeam
emp_21,CoreResearchTeam
emp_22,CloudDevTeam
emp_23,AIResearchTeam
emp_23,InfraTeam
emp_24,InfraDevTeam
emp_25,InnovationOpsTeam
emp_26,AITeam
emp_27,AnalyticsOpsTeam
emp_27,InnovationOpsTeam
emp_28,CloudResearchTeam
emp_29,DataResearchTeam
emp_30,InnovationResearchTeam
emp_30,AIOpsTeam
emp_31,InnovationOpsTeam
emp_32,AnalyticsResearchTeam
emp_32,DataTeam
emp_33,AITeam
emp_34,CloudOpsTeam
emp_35,CloudTeam
emp_35,CloudResearchTeam
emp_36,InfraResearchTeam
emp_37,InfraResearchTeam
emp_37,AnalyticsOpsTeam
emp_38,AIOpsTeam
emp_39,InnovationOpsTeam
emp_40,InnovationTeam
emp_41,CloudTeam
emp_41,CoreDevTeam
emp_42,CloudOpsTeam
emp_43,CloudResearchTeam
emp_44,AnalyticsTeam
emp_44,DataTeam
emp_45,CoreResearchTeam
emp_45,AnalyticsDevTeam
emp_46,CoreDevTeam
emp_46,AnalyticsTeam
emp_47,InnovationResearchTeam
emp_48,InfraTeam
emp_48,InfraOpsTeam
emp_49,AITeam
emp_50,CloudTeam
emp_50,InfraDevTeam
emp_51,InnovationOpsTeam
emp_52,CoreDevTeam
emp_53,InnovationOpsTeam
emp_53,InfraTeam
emp_54,ProductResearchTeam
emp_55,CloudOpsTeam
emp_56,InnovationDevTeam
emp_56,CoreOpsTeam
emp_57,DataResearchTeam
emp_58,DataOpsTeam
emp_58,ProductResearchTeam
emp_59,CoreResearchTeam
emp_59,InfraResearchTeam
emp_60,InnovationResearchTeam
emp_61,CoreDevTeam
emp_62,CoreDevTeam
emp_63,ProductResearchTeam
emp_63,CloudTeam
emp_64,InfraOpsTeam
emp_65,ProductResearchTeam
emp_65,AIResearchTeam
emp_66,DataResearchTeam
emp_66,CloudDevTeam
emp_67,AnalyticsTeam
emp_68,AnalyticsTeam
emp_68,ProductOpsTeam
emp_69,InnovationResearchTeam
emp_69,AIResearchTeam
emp_70,CoreResearchTeam
emp_71,AITeam
emp_72,AnalyticsTeam
emp_72,InnovationDevTeam
emp_73,InfraOpsTeam
emp_74,AnalyticsTeam
emp_74,InnovationDevTeam
emp_75,CoreDevTeam
emp_76,CoreResearchTeam
emp_77,DataResearchTeam
emp_77,CoreDevTeam
emp_78,CloudOpsTeam
emp_78,CloudTeam
emp_79,AIDevTeam
emp_80,InfraDevTeam
emp_81,AITeam
emp_81,AIResearchTeam
emp_82,InfraResearchTeam
emp_83,DataOpsTeam
emp_83,CoreResearchTeam
emp_84,DataDevTeam
emp_85,AIOpsTeam
emp_85,CloudDevTeam
emp_86,CoreResearchTeam
emp_86,AIDevTeam
emp_87,InfraResearchTeam
emp_87,CloudTeam
emp_88,CoreDevTeam
emp_88,DataOpsTeam
emp_89,AIOpsTeam
emp_89,AnalyticsOpsTeam
emp_90,InnovationTeam
emp_91,AnalyticsDevTeam
emp_92,InfraDevTeam
emp_92,ProductTeam
emp_93,InfraOpsTeam
emp_93,DataOpsTeam
emp_94,CoreResearchTeam
emp_94,ProductOpsTeam
emp_95,ProductTeam
emp_95,DataOpsTeam
emp_96,InnovationDevTeam
emp_96,DataDevTeam
emp_97,AIOpsTeam
emp_98,InnovationOpsTeam
emp_98,DataDevTeam
emp_99,ProductOpsTeam
emp_100,CoreTeam
emp_100,InfraDevTeam
emp_101,AIOpsTeam
emp_101,DataOpsTeam
emp_102,AIResearchTeam
emp_102,AIDevTeam
emp_103,AIDevTeam
emp_104,CoreDevTeam
emp_105,CloudDevTeam
emp_106,CloudOpsTeam
emp_106,CloudTeam
emp_107,AnalyticsTeam
emp_108,AIDevTeam
emp_108,DataDevTeam
emp_109,AnalyticsOpsTeam
emp_109,InfraDevTeam
emp_110,CloudOpsTeam
emp_110,CloudTeam
emp_111,AITeam
emp_111,InnovationDevTeam
emp_112,InfraDevTeam
emp_112,CoreDevTeam
emp_113,CoreOpsTeam
emp_114,DataTeam
emp_115,AnalyticsResearchTeam
emp_116,CoreDevTeam
emp_116,AnalyticsDevTeam
emp_117,AITeam
emp_118,CloudTeam
emp_118,AIOpsTeam
emp_119,AIOpsTeam
emp_120,CoreOpsTeam
emp_120,DataOpsTeam
emp_121,AnalyticsTeam
emp_122,AnalyticsDevTeam
emp_122,InfraDevTeam
emp_123,CloudTeam
emp_123,InfraTeam
emp_124,ProductDevTeam
emp_124,AnalyticsTeam
emp_125,InfraTeam
emp_125,AnalyticsDevTeam
emp_126,AnalyticsResearchTeam
emp_127,AnalyticsResearchTeam
emp_127,AnalyticsOpsTeam
emp_128,InfraOpsTeam
emp_128,AIDevTeam
emp_129,CoreResearchTeam
emp_130,CloudDevTeam
emp_130,CoreDevTeam
emp_131,ProductTeam
emp_131,AnalyticsOpsTeam
emp_132,CoreResearchTeam
emp_133,AIDevTeam
emp_133,DataOpsTeam
emp_134,AITeam
emp_134,InfraDevTeam
emp_135,InnovationTeam
emp_135,InnovationDevTeam
emp_136,CloudTeam
emp_137,InfraTeam
emp_137,AnalyticsOpsTeam
emp_138,CloudOpsTeam
emp_138,CoreDevTeam
emp_139,CloudTeam
emp_140,CoreResearchTeam
emp_140,AnalyticsResearchTeam
emp_141,CloudTeam
emp_141,CloudTeam
emp_142,InfraDevTeam
emp_142,CoreResearchTeam
emp_143,AIDevTeam
emp_144,InnovationResearchTeam
emp_144,InfraDevTeam
emp_145,CoreDevTeam
emp_146,InnovationDevTeam
emp_146,InnovationResearchTeam
emp_147,AnalyticsResearchTeam
emp_147,AnalyticsDevTeam
emp_148,AnalyticsTeam
emp_149,CoreResearchTeam
emp_150,AIOpsTeam
emp_150,CoreOpsTeam
emp_151,CloudDevTeam
emp_152,CloudResearchTeam
emp_153,AITeam
emp_154,CoreOpsTeam
emp_155,InnovationTeam
emp_156,InfraOpsTeam
emp_156,ProductResearchTeam
emp_157,CloudOpsTeam
emp_158,ProductOpsTeam
emp_159,ProductTeam
emp_159,AITeam
emp_160,ProductOpsTeam
emp_160,ProductOpsTeam
emp_161,CloudTeam
emp_162,InnovationTeam
emp_163,CoreResearchTeam
emp_164,InfraTeam
emp_164,CoreResearchTeam
emp_165,CoreResearchTeam
emp_166,ProductTeam
emp_166,ProductTeam
emp_167,InnovationOpsTeam
emp_167,CoreTeam
emp_168,CloudResearchTeam
emp_169,InfraOpsTeam
emp_169,DataOpsTeam
emp_170,InfraOpsTeam
emp_170,CloudOpsTeam
emp_171,InfraDevTeam
emp_172,InnovationTeam
emp_173,InnovationResearchTeam
emp_174,InfraDevTeam
emp_175,InnovationResearchTeam
emp_176,CoreResearchTeam
emp_177,InnovationOpsTeam
emp_177,InnovationDevTeam
emp_178,AIDevTeam
emp_178,DataTeam
emp_179,CloudOpsTeam
emp_179,ProductResearchTeam
emp_180,InfraDevTeam
emp_180,DataResearchTeam
emp_181,InnovationDevTeam
emp_182,InfraDevTeam
emp_182,AIResearchTeam
emp_183,DataOpsTeam
emp_184,AIResearchTeam
emp_185,InfraOpsTeam
emp_186,ProductResearchTeam
emp_186,InnovationDevTeam
emp_187,CoreResearchTeam
emp_187,InfraDevTeam
emp_188,ProductTeam
emp_189,DataOpsTeam
emp_190,AITeam
emp_190,CoreResearchTeam
emp_191,InnovationOpsTeam
emp_191,InfraOpsTeam
emp_192,CloudResearchTeam
emp_193,ProductTeam
emp_194,AnalyticsTeam
emp_194,AIOpsTeam
emp_195,CloudTeam
emp_195,InfraDevTeam
emp_196,InfraOpsTeam
emp_197,InnovationDevTeam
emp_197,InfraOpsTeam
emp_198,ProductOpsTeam
emp_198,InnovationTeam
emp_199,CoreResearchTeam
emp_200,InfraDevTeam
emp_201,CloudOpsTeam
emp_201,InfraOpsTeam
emp_202,CloudDevTeam
